iteration,rmse,datetime_start,datetime_complete,duration,alpha,fit_intercept,max_iter,normalize,selection,tol,state
399,4744.839315275023,2023-02-25 23:19:36.892417,2023-02-25 23:19:37.550740,0 days 00:00:00.658323,0.34166487394710954,True,6471858,False,random,0.0017552936219478571,COMPLETE
433,4744.839453149227,2023-02-25 23:20:10.483848,2023-02-25 23:20:11.159570,0 days 00:00:00.675722,0.26244874741882357,True,6019373,False,random,0.0017892901325364339,COMPLETE
291,4744.839983419649,2023-02-25 23:18:38.461985,2023-02-25 23:18:39.011110,0 days 00:00:00.549125,0.6211410917001073,True,4900819,False,cyclic,0.002148315297915895,COMPLETE
668,4744.840526048131,2023-02-25 23:24:45.522899,2023-02-25 23:24:46.300436,0 days 00:00:00.777537,0.3812017816494022,True,7717492,False,random,0.0015642976714824851,COMPLETE
298,4744.841096207168,2023-02-25 23:18:42.552896,2023-02-25 23:18:43.092220,0 days 00:00:00.539324,0.6044522312581626,True,4099283,False,cyclic,0.0024594473385326173,COMPLETE
463,4744.842021025935,2023-02-25 23:20:31.774281,2023-02-25 23:20:32.431439,0 days 00:00:00.657158,0.3603892358436912,True,6406786,False,random,0.0018608584328296107,COMPLETE
664,4744.842210181168,2023-02-25 23:24:43.001757,2023-02-25 23:24:43.754025,0 days 00:00:00.752268,0.3108074145204649,True,7117517,False,random,0.0019366567300671347,COMPLETE
650,4744.8425943239645,2023-02-25 23:24:32.519292,2023-02-25 23:24:33.268612,0 days 00:00:00.749320,0.3584239915285996,True,6260076,False,random,0.0018712330086770746,COMPLETE
631,4744.843278188332,2023-02-25 23:23:45.255734,2023-02-25 23:23:45.974588,0 days 00:00:00.718854,0.21667381293471188,True,6812028,False,random,0.0019679732807494693,COMPLETE
459,4744.843500043532,2023-02-25 23:20:29.584839,2023-02-25 23:20:30.229135,0 days 00:00:00.644296,0.2201911628944218,True,5778518,False,random,0.002247988692705396,COMPLETE
595,4744.843543541933,2023-02-25 23:23:12.470460,2023-02-25 23:23:13.187062,0 days 00:00:00.716602,0.30482006156458996,True,6805109,False,random,0.001755042472136309,COMPLETE
