iteration,rmse,datetime_start,datetime_complete,duration,alpha,solver,state
481,4781.04345703125,2022-06-04 18:27:58.039337,2022-06-04 18:27:58.293692,0 days 00:00:00.254355,0.33662221181741603,svd,COMPLETE
316,4781.0615234375,2022-06-04 18:27:14.184464,2022-06-04 18:27:14.454649,0 days 00:00:00.270185,0.3372735731347129,svd,COMPLETE
187,4781.06787109375,2022-06-04 18:26:44.230129,2022-06-04 18:26:44.436895,0 days 00:00:00.206766,0.3374978273328054,svd,COMPLETE
687,4781.0712890625,2022-06-04 18:28:58.969538,2022-06-04 18:28:59.262894,0 days 00:00:00.293356,0.33764217518668127,svd,COMPLETE
600,4781.07470703125,2022-06-04 18:28:32.386969,2022-06-04 18:28:32.655206,0 days 00:00:00.268237,0.3377694997936469,svd,COMPLETE
165,4781.09716796875,2022-06-04 18:26:38.936066,2022-06-04 18:26:39.135390,0 days 00:00:00.199324,0.338552840184505,svd,COMPLETE
264,4781.09814453125,2022-06-04 18:27:02.208227,2022-06-04 18:27:02.431399,0 days 00:00:00.223172,0.33858854462445553,svd,COMPLETE
638,4781.0986328125,2022-06-04 18:28:43.881883,2022-06-04 18:28:44.230571,0 days 00:00:00.348688,0.3386029168862692,svd,COMPLETE
786,4781.10986328125,2022-06-04 18:29:33.596479,2022-06-04 18:29:33.982356,0 days 00:00:00.385877,0.33905791262879437,svd,COMPLETE
397,4781.13525390625,2022-06-04 18:27:34.998114,2022-06-04 18:27:35.231681,0 days 00:00:00.233567,0.34002781217796163,svd,COMPLETE
911,4781.13671875,2022-06-04 18:30:22.728380,2022-06-04 18:30:23.086242,0 days 00:00:00.357862,0.3401125801335058,svd,COMPLETE
369,4781.15625,2022-06-04 18:27:27.463686,2022-06-04 18:27:27.692193,0 days 00:00:00.228507,0.34084792505504585,svd,COMPLETE
270,4781.1630859375,2022-06-04 18:27:03.525794,2022-06-04 18:27:03.803191,0 days 00:00:00.277397,0.3411044045844314,svd,COMPLETE
510,4781.1640625,2022-06-04 18:28:05.940946,2022-06-04 18:28:06.230712,0 days 00:00:00.289766,0.34115213893249324,svd,COMPLETE
822,4781.17578125,2022-06-04 18:29:47.433147,2022-06-04 18:29:47.991410,0 days 00:00:00.558263,0.3415730664978048,svd,COMPLETE
841,4781.17626953125,2022-06-04 18:29:54.769084,2022-06-04 18:29:55.101060,0 days 00:00:00.331976,0.3415790357754278,svd,COMPLETE
