boosting_type,feature_fraction,force_col_wise,learning_rate,max_depth,min_sum_hessian_in_leaf,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
gbdt,0.5204093425367861,+,0.04609913780792189,11,0,176,0.32176739981948477,0.14300867720012,0.6191337836020174,2410.944782217998,325
gbdt,0.7956653667921694,+,0.08172018920279352,14,0,149,0.3478180268665654,0.9317943527449233,0.7910153202421233,2411.092271602723,242
gbdt,0.5359898329431293,+,0.037983336076876345,14,0,188,0.5513350167349017,0.3376008268598076,0.4495238751552605,2411.591267552251,268
gbdt,0.6686661401545677,+,0.07022826057660318,9,0,184,0.0667855259600903,0.28202695244273235,0.7122731644769611,2411.643860074736,230
gbdt,0.6311243044679838,+,0.09633341377945522,14,0,125,0.07755185815155796,0.6434600039352018,0.48396918817144907,2412.1416196258365,451
gbdt,0.642231008447949,+,0.05668572637539326,12,0,152,0.24828323449417405,0.9854587713572214,0.8490072341587929,2412.195858349045,27
gbdt,0.7939602104745636,+,0.04634024273528893,14,0,180,0.27752994948425647,0.7798300836889378,0.7944501170468993,2412.203124134513,149
gbdt,0.5154863226769277,+,0.055861162798956726,12,0,144,0.2640085950316816,0.3564533226757621,0.404531476515663,2412.580724188468,329
gbdt,0.5880443802169723,+,0.11286974528329678,12,0,158,0.06855268565816192,0.936667983001716,0.9934997173455531,2412.760309289048,130
gbdt,0.6162853875812195,+,0.06339010498634981,10,0,149,0.3161444886449565,0.21827754000095095,0.6001116748036422,2413.5308782009,432
gbdt,0.5696277676086833,+,0.041808891866610354,10,0,192,0.4283213644643936,0.5049528291621399,0.5572210267557841,2413.7693951560104,349
gbdt,0.6796155546225855,+,0.09674107402465897,9,0,198,0.17233281516506188,0.34120719118030324,0.6095643810320696,2414.4174469751138,378
gbdt,0.5755417289173892,+,0.056378179317562914,10,0,147,0.5119853364627389,0.051878768233013656,0.4790481037644949,2414.951356121125,490
gbdt,0.630885192840527,+,0.0375357556276207,14,0,175,0.48943681949695705,0.08739625288330416,0.4159476230395582,2415.423432347837,357
gbdt,0.7481022543226354,+,0.10562118719574094,14,0,190,0.29043102440464486,0.1363115439205593,0.7998205213884773,2415.5611280425237,91
gbdt,0.6876357326138589,+,0.04785190481047093,12,0,157,0.11287881329058652,0.5457819509529007,0.6185726003034794,2415.7160835319705,465
gbdt,0.6605751107886964,+,0.11429928076794584,12,0,191,0.09359258155777853,0.2683054761973351,0.6256029456164572,2416.0787334903503,429
gbdt,0.5605111527189818,+,0.046680060707218675,14,0,150,0.44009898882880444,0.35798112227540263,0.3929548692740801,2416.109735762738,277
gbdt,0.6390092203007609,+,0.06971552966383461,14,0,121,0.41942424323804706,0.3355216214186152,0.6658825908388533,2416.406670694238,257
gbdt,0.656288546574913,+,0.04981738399182492,9,0,199,0.0024969949548415693,0.18049525240815759,0.6407696806094946,2417.0258480396647,498
gbdt,0.6539397337492965,+,0.07117086559746696,10,0,122,0.3665203084821481,0.5107146583496999,0.6430706185774646,2417.2501133868063,384
gbdt,0.6579058666758351,+,0.11558144694650459,14,0,198,0.597653997652271,0.5452746655295824,0.5053199804432087,2417.2977334728016,393
gbdt,0.6395426807681583,+,0.04416711917791321,13,0,153,0.19154382909981954,0.16526136465569516,0.4694947955816769,2417.556997112199,85
gbdt,0.5501330689897159,+,0.038941722340145354,11,0,174,0.02988418139365745,0.45628092838901957,0.5704067581652174,2417.823865195948,497
gbdt,0.5806039236623579,+,0.11145150034744675,13,0,146,0.4750485944306854,0.47709026464663884,0.5774361284047308,2418.230013892997,284
gbdt,0.5472753445550601,+,0.06387082313740125,14,0,113,0.3649895887325876,0.1605234189938588,0.5371805083070245,2418.2465486158344,297
gbdt,0.6312007830269794,+,0.05190984432584154,13,0,133,0.08117706130587175,0.3799902507026939,0.6009176310158442,2418.380508447348,400
gbdt,0.5080394611289066,+,0.031364327581749396,14,0,190,0.4574355509491005,0.28185113230522446,0.5646523127935648,2418.588810430972,263
gbdt,0.716263135765554,+,0.04978607267950776,12,0,147,0.9528555981760349,0.728567190492819,0.8994190439418446,2418.6418110323248,119
