iteration,rmse,datetime_start,datetime_complete,duration,C,change_tol,epsilon,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
44,7376.313496068335,2023-02-25 23:51:09.821630,2023-02-25 23:51:10.058781,0 days 00:00:00.237151,6.7,0.00015487647185001387,0.5,0.011747692626521707,18,5428,epsilon_insensitive,8759865,True,l1,COMPLETE
38,7376.31529798844,2023-02-25 23:51:06.511899,2023-02-25 23:51:06.724975,0 days 00:00:00.213076,5.7,0.0003392459307743788,0.5,0.012853882746092695,18,7948,epsilon_insensitive,7007535,True,l1,COMPLETE
64,7379.092653881857,2023-02-25 23:51:19.291229,2023-02-25 23:51:19.670596,0 days 00:00:00.379367,6.6,0.00016262600509318192,0.30000000000000004,0.014937974987737537,18,8333,epsilon_insensitive,7825780,True,l1,COMPLETE
56,7408.969673010479,2023-02-25 23:51:15.483913,2023-02-25 23:51:15.742509,0 days 00:00:00.258596,9.4,2.0204668922631843e-05,0.30000000000000004,0.0229072142038044,19,5147,epsilon_insensitive,8898378,True,l1,COMPLETE
75,7414.751637183634,2023-02-25 23:51:32.754083,2023-02-25 23:51:33.010237,0 days 00:00:00.256154,7.3,3.282202066071185e-05,0.9,0.012360337740018879,11,9285,epsilon_insensitive,4454982,True,l1,COMPLETE
45,7420.487592123605,2023-02-25 23:51:10.059174,2023-02-25 23:51:10.295127,0 days 00:00:00.235953,7.7,0.00014394174605989683,0.6,0.018268263789585626,19,5760,epsilon_insensitive,7125327,True,l1,COMPLETE
24,7452.7782784181645,2023-02-25 23:51:01.747645,2023-02-25 23:51:01.949464,0 days 00:00:00.201819,3.0000000000000004,0.00048060184251724953,0.1,0.06819241537730111,15,4459,epsilon_insensitive,2246793,False,l2,COMPLETE
17,7452.7782784181645,2023-02-25 23:51:00.264642,2023-02-25 23:51:00.471162,0 days 00:00:00.206520,3.5000000000000004,0.0005500857287722607,0.1,0.06740124194443203,14,9844,epsilon_insensitive,2081017,False,l2,COMPLETE
12,7452.778279014081,2023-02-25 23:50:59.279000,2023-02-25 23:50:59.452394,0 days 00:00:00.173394,5.0,0.00047081066129558784,0.1,0.07437504495821017,14,3074,epsilon_insensitive,1555713,False,l2,COMPLETE
11,7452.7782792252365,2023-02-25 23:50:59.075490,2023-02-25 23:50:59.278653,0 days 00:00:00.203163,6.1,0.0005069223855692687,0.1,0.07215255362762363,19,2434,epsilon_insensitive,1954936,False,l2,COMPLETE
22,7452.7782792252365,2023-02-25 23:51:01.302424,2023-02-25 23:51:01.522859,0 days 00:00:00.220435,8.2,0.0004985230181825808,0.1,0.06914396389767946,19,1580,epsilon_insensitive,2079776,False,l2,COMPLETE
21,7452.7782792252365,2023-02-25 23:51:01.084896,2023-02-25 23:51:01.302007,0 days 00:00:00.217111,6.2,0.0005262441711302628,0.1,0.07379446827725342,13,4199,epsilon_insensitive,1905666,False,l2,COMPLETE
15,7458.727637712311,2023-02-25 23:50:59.841820,2023-02-25 23:51:00.073151,0 days 00:00:00.231331,5.1,0.0005879344314723802,0.2,0.07347810899011417,12,6700,epsilon_insensitive,3155825,False,l2,COMPLETE
4,7458.727932807972,2023-02-25 23:50:57.114907,2023-02-25 23:50:57.354949,0 days 00:00:00.240042,0.2,0.0007801035954635122,0.2,0.04969591149805886,15,2638,epsilon_insensitive,1577163,False,l2,COMPLETE
25,7460.118255439965,2023-02-25 23:51:01.949888,2023-02-25 23:51:02.173837,0 days 00:00:00.223949,1.7000000000000002,0.00033235840509380046,0.30000000000000004,0.06189797447482043,14,6372,epsilon_insensitive,2538240,False,l2,COMPLETE
20,7460.118403731107,2023-02-25 23:51:00.865994,2023-02-25 23:51:01.084634,0 days 00:00:00.218640,4.2,0.0004168406820453534,0.30000000000000004,0.061225653505089,16,9681,epsilon_insensitive,4127344,False,l2,COMPLETE
9,7460.118440622301,2023-02-25 23:50:58.705656,2023-02-25 23:50:58.874914,0 days 00:00:00.169258,7.2,0.0006989650219341093,0.30000000000000004,0.06679772398164001,18,1007,epsilon_insensitive,9678864,False,l2,COMPLETE
27,7460.176983498706,2023-02-25 23:51:02.383318,2023-02-25 23:51:02.587085,0 days 00:00:00.203767,1.3000000000000003,0.0006475623320972008,0.4,0.06719177789612325,16,4343,epsilon_insensitive,1107394,False,l2,COMPLETE
