iteration,rmse,datetime_start,datetime_complete,duration,C,change_tol,epsilon,grad_tol,lbfgs_memory,linesearch_max_iter,max_iter,penatly,state
512,5049.86536768679,2023-02-25 23:55:53.280555,2023-02-25 23:55:54.051388,0 days 00:00:00.770833,11.0,0.00011853733595635157,1.2,0.012173156111523186,10,2811,1756727,l1,COMPLETE
918,5050.167502048288,2023-02-26 00:01:06.248584,2023-02-26 00:01:07.404197,0 days 00:00:01.155613,11.0,0.001979660844052041,1.2,0.003591391159549772,16,2768,1425754,l1,COMPLETE
533,5050.167502048288,2023-02-25 23:56:07.291040,2023-02-25 23:56:08.267766,0 days 00:00:00.976726,11.0,0.001951921026005805,1.2,0.008724084924701477,16,2831,2234846,l1,COMPLETE
959,5055.500320526676,2023-02-26 00:01:41.985392,2023-02-26 00:01:43.227579,0 days 00:00:01.242187,10.9,0.0021370921408183563,1.2,0.0037566467645581665,24,2974,1736916,l1,COMPLETE
491,5059.456345835927,2023-02-25 23:55:40.780914,2023-02-25 23:55:41.579929,0 days 00:00:00.799015,10.8,0.00010671195327023494,1.2,0.010019379321918294,10,2810,900368,l1,COMPLETE
726,5184.784062375728,2023-02-25 23:58:25.444858,2023-02-25 23:58:26.574134,0 days 00:00:01.129276,9.6,0.00014821401685816507,1.2,0.01272842528805269,21,2936,2406806,l1,COMPLETE
727,5203.996865942831,2023-02-25 23:58:26.574847,2023-02-25 23:58:27.676794,0 days 00:00:01.101947,9.9,0.00012540033494048045,1.2,0.010327805815989497,21,2818,2015466,l1,COMPLETE
621,5597.829185049791,2023-02-25 23:57:05.441257,2023-02-25 23:57:06.425078,0 days 00:00:00.983821,11.5,0.0035891070331108437,1.2,0.006633322748510015,16,2738,2185059,l1,COMPLETE
524,5624.700513496641,2023-02-25 23:56:00.894060,2023-02-25 23:56:01.726896,0 days 00:00:00.832836,10.7,0.0017768267359871933,1.2,0.011628618191359684,17,2758,1921014,l1,COMPLETE
642,5630.353409582923,2023-02-25 23:57:20.506465,2023-02-25 23:57:21.338238,0 days 00:00:00.831773,11.100000000000001,0.0001581609874050159,1.1,0.00186425954772726,22,2821,3046016,l1,COMPLETE
519,5630.618487650808,2023-02-25 23:55:57.960709,2023-02-25 23:55:58.773985,0 days 00:00:00.813276,11.100000000000001,0.0022322004675059026,1.1,0.006524904654052824,14,2785,456762,l1,COMPLETE
545,5646.110125236385,2023-02-25 23:56:16.031179,2023-02-25 23:56:16.793821,0 days 00:00:00.762642,10.6,0.0001331435799070719,1.2,0.010975109824401374,20,2883,2334703,l1,COMPLETE
549,5648.861779194861,2023-02-25 23:56:18.322637,2023-02-25 23:56:19.194458,0 days 00:00:00.871821,10.7,0.0021730327934708737,1.2,0.008334555917729265,23,2892,2084110,l1,COMPLETE
696,5661.5449418756025,2023-02-25 23:58:00.639929,2023-02-25 23:58:01.678743,0 days 00:00:01.038814,10.5,0.0021126484397914324,1.2,0.0020156590565478276,23,2947,2674169,l1,COMPLETE
95,5665.997338457026,2023-02-25 23:52:33.141808,2023-02-25 23:52:33.475100,0 days 00:00:00.333292,14.3,0.022798964786231654,0.7999999999999999,0.002372014090689723,13,2820,4313614,l2,COMPLETE
784,5682.30259637771,2023-02-25 23:59:11.282706,2023-02-25 23:59:12.099733,0 days 00:00:00.817027,10.5,0.001955135840114614,1.1,0.003383169975097358,19,2949,1834745,l1,COMPLETE
729,5692.916986826836,2023-02-25 23:58:28.868390,2023-02-25 23:58:29.661572,0 days 00:00:00.793182,10.2,0.002004274754541106,1.2,0.004232208231356948,20,2796,1851019,l1,COMPLETE
886,5695.796229305593,2023-02-26 00:00:38.924997,2023-02-26 00:00:39.936568,0 days 00:00:01.011571,11.4,0.0019237610722068015,1.1,0.00449142211001641,24,2818,717608,l1,COMPLETE
541,5697.171711076599,2023-02-25 23:56:12.985247,2023-02-25 23:56:13.711985,0 days 00:00:00.726738,10.7,0.001930434690415039,1.2,0.003900107602470206,22,2751,2237698,l1,COMPLETE
987,5697.171711076599,2023-02-26 00:02:07.330576,2023-02-26 00:02:08.316419,0 days 00:00:00.985843,10.7,0.0019411996780781444,1.2,0.0001409769900161794,22,2961,1925911,l1,COMPLETE
864,5697.213065691586,2023-02-26 00:00:19.745582,2023-02-26 00:00:20.738276,0 days 00:00:00.992694,11.8,0.0021701271898148747,1.1,0.0019758714868752937,24,2891,1895343,l1,COMPLETE
