depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,loss,iteration
12,239,0.7888791732761407,0.1518482956207102,17,4,2473.338573438387,91
12,276,0.9683662981408729,0.12110237007988715,5,15,2473.4689236929744,232
12,309,0.7213446766650655,0.10394084867142869,16,12,2473.513437799816,71
11,240,0.8803781362394707,0.2642165725884297,12,8,2473.7254624439342,54
11,245,0.9400797107429321,0.22385542542667985,9,3,2474.691231370525,6
12,238,0.5217390452083617,0.14203102732752576,15,16,2475.1802116891577,148
12,301,0.8699609189182438,0.10580823171101608,14,10,2475.579014407557,296
12,291,0.7062696488302284,0.25915094810851813,10,8,2476.525524332379,21
12,271,0.8179702092632491,0.11596151541748553,6,16,2478.6391272974347,173
9,362,0.13195220583868256,0.2973218322377191,4,6,2479.007090303699,18
11,327,0.6592314930775093,0.11162299793281748,14,12,2479.1834227733366,212
10,343,0.50096582118763,0.14137817173219652,16,10,2479.5362997893303,171
10,456,0.7850500834551174,0.10528618528041976,12,4,2480.1622404781533,161
11,223,0.24560393144893894,0.2763024203369365,15,18,2480.863022219997,15
11,266,0.6501967328538912,0.14368633215467086,16,8,2481.5896605240314,257
12,299,0.9349718869936883,0.09799021630393764,15,2,2482.4699215650426,260
12,226,0.3775927129495713,0.13361072735034865,15,4,2483.31652823187,69
10,268,0.6048754674323772,0.19136095300609385,2,16,2483.502113084475,3
12,222,0.47857315757584,0.13535244299919075,19,19,2484.1695266998054,37
12,206,0.961676356153802,0.1564253570600247,3,4,2485.784809591905,118
12,488,0.6322220778317651,0.05446255995637475,18,19,2486.2788440031827,282
11,283,0.8644479836478349,0.1300377395029355,5,5,2486.538551560774,138
12,499,0.6562290589060134,0.05257292894254968,16,12,2486.7600466958293,73
10,380,0.9988076606289754,0.11720818202060478,16,9,2486.88640491802,131
10,306,0.9980098449577421,0.14969487806147094,7,8,2486.9813995471195,238
12,232,0.8619176794113551,0.1267979019549535,16,13,2487.029110999713,30
12,311,0.3916894981791551,0.2709634848714858,14,16,2487.134439730241,126
11,462,0.5095606331909881,0.07159814108905407,14,2,2487.4842181947406,201
9,427,0.3741622010908607,0.1470442171104859,8,6,2487.675142218001,53
12,165,0.5302126697656893,0.19676818453540762,6,19,2489.6441404753755,217
12,265,0.6061400201733202,0.1019509982252203,15,19,2490.709895439796,147
12,247,0.3040676372302501,0.10624874491949468,12,6,2491.9485539123866,96
11,166,0.36543270260218985,0.2326317772104819,13,16,2492.383287880727,8
12,336,0.9085851190907901,0.07668025020070839,16,19,2493.5827242030814,29
10,359,0.8073565433500665,0.11572106315641977,4,18,2493.8438593490127,273
8,339,0.6527683696668392,0.28571019138800924,8,14,2495.2585238965207,124
9,384,0.8359631285379564,0.1459132246226137,6,9,2496.013428909825,292
12,148,0.28504553599086435,0.20453438915475397,10,18,2496.8669670146774,243
12,131,0.6044148831242858,0.28983450650732634,10,9,2498.969302191751,19
8,345,0.6839834630715967,0.24899986765675092,17,18,2500.1304182825784,44
12,255,0.8211456849602901,0.09877440638977585,14,7,2500.271889134025,101
12,154,0.44304821850114606,0.20949596908855184,4,2,2500.560694261572,129
9,382,0.5471458354270116,0.13655313945789035,12,13,2500.673474354593,137
12,183,0.6164450402858145,0.14644434746610627,9,7,2500.7062943719325,123
12,367,0.9168132098852452,0.06562460215761139,14,10,2501.2517809881765,103
9,256,0.1518058534926004,0.22642895718396322,6,11,2502.823994241432,11
12,253,0.9686041590071791,0.09443946027816297,15,19,2504.549623859957,175
12,395,0.6922369846099371,0.05742519401110909,11,12,2505.258298581389,234
10,218,0.9242289189671287,0.1804896759363639,8,14,2507.4777662718584,36
11,258,0.8673031398967236,0.1136750545241918,16,3,2507.569411476962,235
12,431,0.9434169210762574,0.052310697579506626,19,9,2508.2553883356813,224
12,171,0.5663246914095937,0.13867043211820593,16,19,2509.233857890984,291
11,286,0.3253815968652776,0.09504023157912214,9,11,2509.2596630729267,48
12,182,0.37382819943660417,0.12462115535098107,18,19,2509.63824326842,252
8,377,0.9943296568549664,0.18873185693928296,9,18,2510.5637967962407,58
10,468,0.5735088945493136,0.07376072080616419,3,4,2511.467988649284,227
12,155,0.7870268321503873,0.15629312993653308,8,14,2512.593302529852,214
8,440,0.7138578280648906,0.14881551398787907,19,10,2514.838599047603,276
7,491,0.6568292742781212,0.2040998924512985,11,8,2515.843794049071,97
7,436,0.6712790575111703,0.2991522966748602,12,5,2516.911164682484,115
10,348,0.8652066307643288,0.09468918903889924,14,10,2518.007767545589,102
12,139,0.6370832471782665,0.16409757878164216,19,12,2518.938183892504,157
11,134,0.9662043296366898,0.21680597463157364,9,15,2519.8803079917834,49
