iteration,rmse,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
192,2822.778076171875,2022-06-03 08:15:56.888086,2022-06-03 08:19:18.427803,0 days 00:03:21.539717,126.0,1973.0,120.0,168.0,966.0,610.0,COMPLETE
390,2822.778564453125,2022-06-04 08:19:31.436853,2022-06-04 08:26:28.586974,0 days 00:06:57.150121,145.0,1972.0,120.0,133.0,949.0,1425.0,COMPLETE
146,2822.781005859375,2022-06-03 04:43:44.851408,2022-06-03 04:46:17.561494,0 days 00:02:32.710086,142.0,1888.0,120.0,151.0,956.0,552.0,COMPLETE
160,2822.79052734375,2022-06-03 05:33:31.213731,2022-06-03 05:35:59.483269,0 days 00:02:28.269538,145.0,1745.0,120.0,149.0,956.0,541.0,COMPLETE
72,2822.8037109375,2022-06-02 21:39:50.723622,2022-06-02 21:43:15.071729,0 days 00:03:24.348107,157.0,1725.0,120.0,200.0,913.0,747.0,COMPLETE
303,2822.826171875,2022-06-04 01:56:04.678062,2022-06-04 02:00:02.511304,0 days 00:03:57.833242,134.0,1904.0,120.0,161.0,973.0,694.0,COMPLETE
91,2822.856689453125,2022-06-02 23:39:20.521311,2022-06-02 23:46:53.259739,0 days 00:07:32.738428,165.0,1800.0,120.0,190.0,926.0,1681.0,COMPLETE
291,2822.8583984375,2022-06-04 00:57:33.602720,2022-06-04 01:00:01.839616,0 days 00:02:28.236896,184.0,1770.0,120.0,163.0,956.0,544.0,COMPLETE
63,2822.874755859375,2022-06-02 20:47:04.704346,2022-06-02 20:50:38.059008,0 days 00:03:33.354662,168.0,1733.0,120.0,133.0,933.0,731.0,COMPLETE
33,2822.87939453125,2022-06-02 18:18:27.294713,2022-06-02 18:23:34.041653,0 days 00:05:06.746940,159.0,1562.0,120.0,51.0,859.0,1064.0,COMPLETE
322,2822.89111328125,2022-06-04 03:09:47.070908,2022-06-04 03:12:54.371452,0 days 00:03:07.300544,118.0,1772.0,120.0,173.0,970.0,565.0,COMPLETE
363,2822.899169921875,2022-06-04 06:08:17.283942,2022-06-04 06:14:18.698657,0 days 00:06:01.414715,147.0,1851.0,120.0,149.0,975.0,1040.0,COMPLETE
421,2822.91552734375,2022-06-04 10:52:17.905560,2022-06-04 10:56:16.803477,0 days 00:03:58.897917,156.0,1931.0,120.0,159.0,974.0,710.0,COMPLETE
