iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
282,2419.96540335954,2023-01-30 21:05:33.204477,2023-01-30 21:05:54.248287,0 days 00:00:21.043810,10,0.8,20,500,15,COMPLETE
287,2419.96540335954,2023-01-30 21:07:46.003387,2023-01-30 21:08:06.891875,0 days 00:00:20.888488,10,0.8,10,500,15,COMPLETE
316,2419.96540335954,2023-01-30 21:21:17.232051,2023-01-30 21:21:37.305380,0 days 00:00:20.073329,10,0.8,20,500,15,COMPLETE
315,2419.96540335954,2023-01-30 21:20:51.741578,2023-01-30 21:21:12.865646,0 days 00:00:21.124068,10,0.8,10,500,15,COMPLETE
314,2419.96540335954,2023-01-30 21:20:27.170424,2023-01-30 21:20:47.433268,0 days 00:00:20.262844,10,0.8,10,500,15,COMPLETE
313,2419.96540335954,2023-01-30 21:19:59.568488,2023-01-30 21:20:22.473291,0 days 00:00:22.904803,10,0.8,10,500,10,COMPLETE
311,2419.96540335954,2023-01-30 21:19:02.573240,2023-01-30 21:19:23.062357,0 days 00:00:20.489117,10,0.8,10,500,15,COMPLETE
309,2419.96540335954,2023-01-30 21:18:11.439169,2023-01-30 21:18:33.385448,0 days 00:00:21.946279,10,0.8,10,500,15,COMPLETE
308,2419.96540335954,2023-01-30 21:17:45.977108,2023-01-30 21:18:06.931300,0 days 00:00:20.954192,10,0.8,10,500,15,COMPLETE
307,2419.96540335954,2023-01-30 21:17:19.441336,2023-01-30 21:17:41.718557,0 days 00:00:22.277221,10,0.8,10,500,15,COMPLETE
306,2419.96540335954,2023-01-30 21:16:51.256296,2023-01-30 21:17:12.164696,0 days 00:00:20.908400,10,0.8,10,500,15,COMPLETE
305,2419.96540335954,2023-01-30 21:16:25.735054,2023-01-30 21:16:46.488556,0 days 00:00:20.753502,10,0.8,10,500,15,COMPLETE
