iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
267,2419.96540335954,2023-01-30 13:49:48.052855,2023-01-30 13:50:09.910375,0 days 00:00:21.857520,10,0.8,20,500,5,COMPLETE
266,2419.96540335954,2023-01-30 13:49:21.185871,2023-01-30 13:49:43.351439,0 days 00:00:22.165568,10,0.8,20,500,5,COMPLETE
265,2419.96540335954,2023-01-30 13:48:54.742284,2023-01-30 13:49:16.250593,0 days 00:00:21.508309,10,0.8,20,500,5,COMPLETE
263,2419.96540335954,2023-01-30 13:47:41.797176,2023-01-30 13:48:12.596597,0 days 00:00:30.799421,10,0.8,10,500,5,COMPLETE
262,2419.96540335954,2023-01-30 13:47:14.504374,2023-01-30 13:47:36.888494,0 days 00:00:22.384120,10,0.8,20,500,5,COMPLETE
276,2419.96540335954,2023-01-30 13:54:16.354369,2023-01-30 13:54:42.678890,0 days 00:00:26.324521,10,0.8,20,500,5,COMPLETE
261,2419.96540335954,2023-01-30 13:46:23.647905,2023-01-30 13:47:09.598853,0 days 00:00:45.950948,10,0.8,20,500,5,COMPLETE
259,2419.96540335954,2023-01-30 13:45:26.118272,2023-01-30 13:45:48.405765,0 days 00:00:22.287493,10,0.8,20,500,5,COMPLETE
257,2419.96540335954,2023-01-30 13:44:29.625418,2023-01-30 13:44:54.821595,0 days 00:00:25.196177,10,0.8,20,500,5,COMPLETE
256,2419.96540335954,2023-01-30 13:43:57.252911,2023-01-30 13:44:25.446096,0 days 00:00:28.193185,10,0.8,20,500,5,COMPLETE
254,2419.96540335954,2023-01-30 13:42:57.731137,2023-01-30 13:43:20.610610,0 days 00:00:22.879473,10,0.8,20,500,10,COMPLETE
253,2419.96540335954,2023-01-30 13:42:27.333702,2023-01-30 13:42:52.843575,0 days 00:00:25.509873,10,0.8,20,500,5,COMPLETE
250,2419.96540335954,2023-01-30 13:40:57.637659,2023-01-30 13:41:19.614940,0 days 00:00:21.977281,10,0.8,20,500,5,COMPLETE
498,2419.96540335954,2023-01-30 15:43:48.859467,2023-01-30 15:44:21.771428,0 days 00:00:32.911961,10,0.8,20,500,5,COMPLETE
248,2419.96540335954,2023-01-30 13:39:52.897865,2023-01-30 13:40:25.742232,0 days 00:00:32.844367,10,0.8,20,500,5,COMPLETE
247,2419.96540335954,2023-01-30 13:39:14.022368,2023-01-30 13:39:47.387808,0 days 00:00:33.365440,10,0.8,20,500,5,COMPLETE
246,2419.96540335954,2023-01-30 13:38:31.242494,2023-01-30 13:39:09.361749,0 days 00:00:38.119255,10,0.8,20,500,5,COMPLETE
245,2419.96540335954,2023-01-30 13:38:00.939863,2023-01-30 13:38:24.222808,0 days 00:00:23.282945,10,0.8,20,500,5,COMPLETE
260,2419.96540335954,2023-01-30 13:45:52.613619,2023-01-30 13:46:14.312284,0 days 00:00:21.698665,10,0.8,20,500,5,COMPLETE
326,2419.96540335954,2023-01-30 14:19:55.962943,2023-01-30 14:20:19.224048,0 days 00:00:23.261105,10,0.8,20,500,5,COMPLETE
277,2419.96540335954,2023-01-30 13:54:53.284415,2023-01-30 13:55:21.843369,0 days 00:00:28.558954,10,0.8,20,500,5,COMPLETE
286,2419.96540335954,2023-01-30 13:59:26.938635,2023-01-30 13:59:55.115007,0 days 00:00:28.176372,10,0.8,20,500,5,COMPLETE
324,2419.96540335954,2023-01-30 14:19:01.560827,2023-01-30 14:19:22.630420,0 days 00:00:21.069593,10,0.8,20,500,5,COMPLETE
323,2419.96540335954,2023-01-30 14:18:34.587565,2023-01-30 14:18:56.030881,0 days 00:00:21.443316,10,0.8,20,500,5,COMPLETE
322,2419.96540335954,2023-01-30 14:18:08.990536,2023-01-30 14:18:29.900298,0 days 00:00:20.909762,10,0.8,20,500,5,COMPLETE
321,2419.96540335954,2023-01-30 14:17:31.107075,2023-01-30 14:17:58.588231,0 days 00:00:27.481156,10,0.8,20,500,5,COMPLETE
320,2419.96540335954,2023-01-30 14:16:54.852261,2023-01-30 14:17:26.558860,0 days 00:00:31.706599,10,0.8,20,500,5,COMPLETE
